"","iphonedisunc","iphonedisneg","iphoneperpos","iphonedispos","htcdispos","iphoneperneg","iphoneperunc","samsungperpos","samsungdispos","samsungdisneg","samsungperneg","galaxysentiment"
"108",0,0,0,0,0,0,0,0,0,0,0,"5"
"109",0,0,4,0,0,0,0,0,0,0,0,"5"
"110",0,0,0,0,0,0,0,0,0,0,0,"5"
"111",0,1,0,0,0,0,0,0,0,0,0,"5"
"112",0,0,0,0,0,0,0,0,0,0,0,"5"
"113",0,0,0,0,0,0,0,0,0,0,0,"5"
"114",0,0,0,0,0,0,0,0,0,0,0,"0"
"115",0,0,0,0,0,0,1,0,0,0,0,"0"
"116",0,0,0,0,1,0,0,0,0,0,0,"0"
"117",0,0,0,0,0,0,3,0,0,0,0,"5"
"118",0,0,0,0,0,0,0,0,0,0,0,"5"
"119",0,0,3,0,0,5,0,3,0,0,5,"5"
"120",0,0,0,0,0,2,0,0,0,0,0,"5"
"121",4,0,0,1,0,0,0,0,0,0,0,"3"
"122",0,0,0,0,0,0,0,0,0,0,0,"5"
"123",0,0,0,0,0,0,0,0,0,0,0,"5"
"124",0,0,0,0,0,0,0,0,0,0,0,"5"
"125",0,0,0,0,0,0,0,0,0,0,0,"5"
"126",0,1,0,0,0,0,0,0,0,0,0,"5"
"127",0,5,0,0,0,0,0,0,0,0,0,"5"
"128",0,3,0,0,0,0,0,0,0,0,0,"5"
"129",0,0,0,0,0,0,0,0,0,0,0,"0"
"130",0,0,0,1,0,0,0,0,0,0,0,"3"
"131",0,0,0,0,0,0,1,0,0,0,0,"0"
"132",0,10,0,0,0,0,0,0,0,0,0,"5"
"133",0,0,2,0,0,0,0,0,0,0,0,"5"
"134",0,0,0,0,0,0,0,0,0,0,0,"5"
"135",0,0,0,0,0,0,0,0,0,0,0,"5"
"136",0,0,0,0,0,0,0,0,0,0,0,"5"
"137",0,0,0,0,0,0,0,0,0,0,0,"5"
"138",0,0,0,0,0,0,0,0,0,0,0,"5"
"139",0,0,1,0,0,0,0,0,0,0,0,"5"
"140",0,1,0,0,0,0,0,0,0,0,0,"5"
"141",0,0,0,0,0,0,0,0,0,0,0,"0"
"142",4,0,0,0,0,0,0,0,0,0,0,"3"
